ip,is_private,total_attempts,session_duration,attempts_per_second,is_single_event,total_failures,total_successes,failure_ratio,unique_users_count,unique_users_ratio,has_root_attempt,has_valid_user_attempt,max_failure_streak,invalid_user_attempts,has_reverse_mapping_failed,ts_first,ts_last,class
173.234.31.186,0,2,2,0.666667,0,2,0,1.0,1,0.5,0,0,2,2,1,1702166146,1702166148,1
173.234.31.186,0,2,2,0.666667,0,2,0,1.0,1,0.5,0,0,2,2,1,1702166908,1702166910,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702166858,1702166865,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702169755,1702169762,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702172660,1702172667,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702175555,1702175562,1
52.80.34.196,0,2,8,0.222222,0,2,0,1.0,1,0.5,0,0,2,2,0,1702178461,1702178469,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702181380,1702181387,1
52.80.34.196,0,2,2,0.666667,0,2,0,1.0,1,0.5,0,0,2,2,0,1702184293,1702184295,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702187209,1702187216,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702190147,1702190154,1
52.80.34.196,0,1,0,1.0,1,1,0,1.0,1,1.0,0,0,1,1,0,1702193086,1702193086,1
52.80.34.196,0,1,0,1.0,1,1,0,1.0,1,1.0,0,0,1,1,0,1702196037,1702196037,1
52.80.34.196,0,1,0,1.0,1,1,0,1.0,1,1.0,0,0,1,1,0,1702198993,1702198993,1
52.80.34.196,0,2,8,0.222222,0,2,0,1.0,1,0.5,0,0,2,2,0,1702201928,1702201936,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702204866,1702204873,1
52.80.34.196,0,2,8,0.222222,0,2,0,1.0,1,0.5,0,0,2,2,0,1702207820,1702207828,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702210745,1702210752,1
52.80.34.196,0,2,6,0.285714,0,2,0,1.0,1,0.5,0,0,2,2,0,1702213676,1702213682,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702216631,1702216638,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702219583,1702219590,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702222519,1702222526,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702225459,1702225466,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702228387,1702228394,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702231331,1702231338,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702234242,1702234249,1
52.80.34.196,0,2,8,0.222222,0,2,0,1.0,1,0.5,0,0,2,2,0,1702237152,1702237160,1
52.80.34.196,0,2,6,0.285714,0,2,0,1.0,1,0.5,0,0,2,2,0,1702240048,1702240054,1
52.80.34.196,0,2,6,0.285714,0,2,0,1.0,1,0.5,0,0,2,2,0,1702242960,1702242966,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702245866,1702245873,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702248759,1702248766,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702251658,1702251665,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702254544,1702254551,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702257450,1702257457,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702260355,1702260362,1
52.80.34.196,0,2,6,0.285714,0,2,0,1.0,1,0.5,0,0,2,2,0,1702263274,1702263280,1
52.80.34.196,0,2,8,0.222222,0,2,0,1.0,1,0.5,0,0,2,2,0,1702266215,1702266223,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702269161,1702269168,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702272102,1702272109,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702275049,1702275056,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702277993,1702278000,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702280922,1702280929,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702283862,1702283869,1
52.80.34.196,0,2,8,0.222222,0,2,0,1.0,1,0.5,0,0,2,2,0,1702286799,1702286807,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702289726,1702289733,1
52.80.34.196,0,2,6,0.285714,0,2,0,1.0,1,0.5,0,0,2,2,0,1702292664,1702292670,1
52.80.34.196,0,2,6,0.285714,0,2,0,1.0,1,0.5,0,0,2,2,0,1702295614,1702295620,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702298551,1702298558,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702301512,1702301519,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702304485,1702304492,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702307462,1702307469,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702310426,1702310433,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702313378,1702313385,1
52.80.34.196,0,2,8,0.222222,0,2,0,1.0,1,0.5,0,0,2,2,0,1702316326,1702316334,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702319250,1702319257,1
52.80.34.196,0,2,8,0.222222,0,2,0,1.0,1,0.5,0,0,2,2,0,1702322146,1702322154,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702325056,1702325063,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702327958,1702327965,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702330856,1702330863,1
52.80.34.196,0,2,8,0.222222,0,2,0,1.0,1,0.5,0,0,2,2,0,1702333765,1702333773,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702336674,1702336681,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702339596,1702339603,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702342517,1702342524,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702345443,1702345450,1
52.80.34.196,0,2,6,0.285714,0,2,0,1.0,1,0.5,0,0,2,2,0,1702348384,1702348390,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702351330,1702351337,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702354271,1702354278,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702357216,1702357223,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702360179,1702360186,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702363134,1702363141,1
52.80.34.196,0,2,8,0.222222,0,2,0,1.0,1,0.5,0,0,2,2,0,1702366087,1702366095,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702369040,1702369047,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702371998,1702372005,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702374953,1702374960,1
52.80.34.196,0,2,6,0.285714,0,2,0,1.0,1,0.5,0,0,2,2,0,1702377921,1702377927,1
52.80.34.196,0,2,8,0.222222,0,2,0,1.0,1,0.5,0,0,2,2,0,1702380881,1702380889,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702383855,1702383862,1
52.80.34.196,0,2,8,0.222222,0,2,0,1.0,1,0.5,0,0,2,2,0,1702386852,1702386860,1
52.80.34.196,0,2,8,0.222222,0,2,0,1.0,1,0.5,0,0,2,2,0,1702389829,1702389837,1
52.80.34.196,0,2,6,0.285714,0,2,0,1.0,1,0.5,0,0,2,2,0,1702392796,1702392802,1
52.80.34.196,0,2,7,0.25,0,2,0,1.0,1,0.5,0,0,2,2,0,1702395766,1702395773,1
