alert_kind,alert_type,ts_alert,ip,session_duration,total_attempts,layer1_class,layer1_label,layer2_score,layer2_anomaly,had_early_alert,alert_subtype,ts_first,attempts_so_far,failures_so_far,reason,event_index
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702166148,173.234.31.186,2.0,2.0,1.0,Single failure,0.0244,0.0,0.0,,,,,,
EARLY_ALERT,,1702168083,112.95.230.3,,,,,,,,BRUTE_FORCE,1702168072.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702168455,123.235.32.19,,,,,,,,BRUTE_FORCE,1702168347.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702166865,52.80.34.196,7.0,2.0,1.0,Single failure,0.1329,0.0,0.0,,,,,,
EARLY_ALERT,,1702171498,5.188.10.180,,,,,,,,BRUTE_FORCE,1702171472.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702171506,5.188.10.180,,,,,,,,SCAN,1702171472.0,7.0,7.0,unique_users=4 >= 4,7.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702169762,52.80.34.196,7.0,2.0,1.0,Single failure,0.1329,0.0,0.0,,,,,,
EARLY_ALERT,,1702174127,185.190.58.151,,,,,,,,BRUTE_FORCE,1702174043.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702174288,103.99.0.122,,,,,,,,BRUTE_FORCE,1702174280.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702174291,103.99.0.122,,,,,,,,SCAN,1702174280.0,7.0,7.0,unique_users=4 >= 4,7.0
EARLY_ALERT,,1702174377,185.190.58.151,,,,,,,,SCAN,1702174043.0,23.0,23.0,unique_users=4 >= 4,23.0
EARLY_ALERT,,1702174395,187.141.143.180,,,,,,,,BRUTE_FORCE,1702174368.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
EARLY_ALERT,,1702174625,187.141.143.180,,,,,,,,SCAN,1702174368.0,51.0,51.0,unique_users=4 >= 4,51.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702172667,52.80.34.196,7.0,2.0,1.0,Single failure,0.1329,0.0,0.0,,,,,,
EARLY_ALERT,,1702178050,119.4.203.64,,,,,,,,BRUTE_FORCE,1702178039.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702175562,52.80.34.196,7.0,2.0,1.0,Single failure,0.1329,0.0,0.0,,,,,,
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702168971,183.136.162.51,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
EARLY_ALERT,,1702180475,183.62.140.253,,,,,,,,BRUTE_FORCE,1702180467.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702167104,202.100.179.208,2.0,2.0,1.0,Single failure,0.1042,0.0,0.0,,,,,,
EARLY_ALERT,,1702180539,183.62.140.253,,,,,,,,SCAN,1702180467.0,38.0,38.0,unique_users=4 >= 4,38.0
FINAL_CLASSIFICATION,KNOWN_ATTACK,1702174364,103.99.0.122,84.0,53.0,3.0,Brute-force,0.0696,0.0,1.0,,,,,,
EARLY_ALERT,,1702181028,103.99.0.122,,,,,,,,BRUTE_FORCE,1702181017.0,6.0,6.0,max_failure_streak=6 >= 6,6.0
